2026-07-28T04:31:04.8718658Z #22 25.58    Compiling idna v1.1.0
2026-07-28T04:31:05.0961406Z #22 25.80    Compiling indexmap v2.14.0
2026-07-28T04:31:05.8069357Z #22 26.66    Compiling num-integer v0.1.46
2026-07-28T04:31:06.4538265Z #22 27.16    Compiling aho-corasick v1.1.4
2026-07-28T04:31:07.3173920Z #22 28.02    Compiling ref-cast v1.0.26
2026-07-28T04:31:07.6413992Z #22 28.25    Compiling try-lock v0.2.5
2026-07-28T04:31:07.6414565Z #22 28.35    Compiling tower-layer v0.3.3
2026-07-28T04:31:07.7811266Z #22 28.64    Compiling getrandom v0.4.3
2026-07-28T04:31:08.1213054Z #22 28.85    Compiling zeroize v1.9.0
2026-07-28T04:31:08.2404961Z #22 28.98    Compiling parking_lot_core v0.9.12
2026-07-28T04:31:08.4037413Z #22 29.10    Compiling atomic-waker v1.1.2
2026-07-28T04:31:08.4038858Z #22 29.16    Compiling rand_core v0.10.1
2026-07-28T04:31:08.6136038Z #22 29.26    Compiling fnv v1.0.7
2026-07-28T04:31:08.6137796Z #22 29.32    Compiling h2 v0.4.15
2026-07-28T04:31:13.7852481Z #22 34.43    Compiling rustls-pki-types v1.15.1
2026-07-28T04:31:13.7854187Z #22 34.49    Compiling regex-automata v0.4.16
2026-07-28T04:31:14.1437611Z #22 34.85    Compiling want v0.3.1
2026-07-28T04:31:14.2986208Z #22 35.00    Compiling ppv-lite86 v0.2.21
2026-07-28T04:31:14.6635919Z #22 35.33    Compiling rand_core v0.6.4
2026-07-28T04:31:14.6636932Z #22 35.37    Compiling ref-cast-impl v1.0.26
2026-07-28T04:31:14.7938751Z #22 35.53    Compiling sync_wrapper v1.0.2
2026-07-28T04:31:14.7940098Z #22 35.60    Compiling lazy_static v1.5.0
2026-07-28T04:31:14.9404911Z #22 35.65    Compiling version_check v0.9.5
2026-07-28T04:31:14.9405781Z #22 35.74    Compiling scopeguard v1.2.0
2026-07-28T04:31:14.9406660Z #22 35.80    Compiling getrandom v0.3.4
2026-07-28T04:31:15.1016553Z #22 35.88    Compiling untrusted v0.9.0
2026-07-28T04:31:15.2523648Z #22 35.96    Compiling httpdate v1.0.3
2026-07-28T04:31:15.5999938Z #22 36.31    Compiling hyper v1.11.0
2026-07-28T04:31:15.8450117Z #22 36.59    Compiling ahash v0.8.12
2026-07-28T04:31:15.9968836Z #22 36.70    Compiling lock_api v0.4.14
2026-07-28T04:31:16.2544476Z #22 36.96    Compiling rand_chacha v0.3.1
2026-07-28T04:31:17.3310326Z #22 38.04    Compiling num-bigint v0.4.8
